Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
29/06/2012,0.48415,0.52515,0.48415,0.52515,3692300,0.52515,0.082493352,-0.015843713,0.00597947,-0.017602598,0,41089
02/07/2012,0.51929,0.55834,0.51246,0.55053,2682500,0.55053,0.048329049,0.082493352,-0.015843713,0.00597947,-0.017602598,41092
03/07/2012,0.55639,0.57884,0.55639,0.56615,2154800,0.56615,0.028372659,0.048329049,0.082493352,-0.015843713,0.00597947,41093
04/07/2012,0.56615,0.57005,0.55931,0.56224,1928800,0.56224,-0.006906297,0.028372659,0.048329049,0.082493352,-0.015843713,41094
05/07/2012,0.56419,0.57103,0.52222,0.53784,3038300,0.53784,-0.043397837,-0.006906297,0.028372659,0.048329049,0.082493352,41095
06/07/2012,0.53491,0.53882,0.51246,0.51246,1164600,0.51246,-0.047188755,-0.043397837,-0.006906297,0.028372659,0.048329049,41096
09/07/2012,0.50758,0.52905,0.5027,0.52515,1541800,0.52515,0.024762908,-0.047188755,-0.043397837,-0.006906297,0.028372659,41099
10/07/2012,0.51344,0.5437,0.51344,0.53198,1947700,0.53198,0.013005808,0.024762908,-0.047188755,-0.043397837,-0.006906297,41100
11/07/2012,0.549,0.558,0.527,0.537,1259700,0.537,0.009436445,0.013005808,0.024762908,-0.047188755,-0.043397837,41101
12/07/2012,0.53,0.538,0.529,0.538,1204100,0.538,0.001862197,0.009436445,0.013005808,0.024762908,-0.047188755,41102
13/07/2012,0.535,0.546,0.53,0.54,1656900,0.54,0.003717472,0.001862197,0.009436445,0.013005808,0.024762908,41103
16/07/2012,0.53,0.54,0.511,0.516,727000,0.516,-0.044444444,0.003717472,0.001862197,0.009436445,0.013005808,41106
17/07/2012,0.506,0.53,0.506,0.52,630600,0.52,0.007751938,-0.044444444,0.003717472,0.001862197,0.009436445,41107
18/07/2012,0.52,0.559,0.52,0.545,2189400,0.545,0.048076923,0.007751938,-0.044444444,0.003717472,0.001862197,41108
19/07/2012,0.532,0.549,0.518,0.525,3197300,0.525,-0.036697248,0.048076923,0.007751938,-0.044444444,0.003717472,41109
20/07/2012,0.525,0.525,0.506,0.515,1958700,0.515,-0.019047619,-0.036697248,0.048076923,0.007751938,-0.044444444,41110
23/07/2012,0.506,0.507,0.485,0.494,1070300,0.494,-0.040776699,-0.019047619,-0.036697248,0.048076923,0.007751938,41113
24/07/2012,0.5,0.502,0.475,0.48,2494100,0.48,-0.028340081,-0.040776699,-0.019047619,-0.036697248,0.048076923,41114
25/07/2012,0.495,0.495,0.479,0.481,1138800,0.481,0.002083333,-0.028340081,-0.040776699,-0.019047619,-0.036697248,41115
26/07/2012,0.487,0.503,0.485,0.501,1003200,0.501,0.041580042,0.002083333,-0.028340081,-0.040776699,-0.019047619,41116
27/07/2012,0.5,0.506,0.495,0.5,830200,0.5,-0.001996008,0.041580042,0.002083333,-0.028340081,-0.040776699,41117
30/07/2012,0.5,0.51,0.5,0.504,899800,0.504,0.008,-0.001996008,0.041580042,0.002083333,-0.028340081,41120
31/07/2012,0.501,0.502,0.498,0.501,638700,0.501,-0.005952381,0.008,-0.001996008,0.041580042,0.002083333,41121
01/08/2012,0.501,0.506,0.492,0.5,348400,0.5,-0.001996008,-0.005952381,0.008,-0.001996008,0.041580042,41122
02/08/2012,0.5,0.503,0.492,0.495,494100,0.495,-0.01,-0.001996008,-0.005952381,0.008,-0.001996008,41123
03/08/2012,0.492,0.504,0.492,0.5,724000,0.5,0.01010101,-0.01,-0.001996008,-0.005952381,0.008,41124
06/08/2012,0.505,0.506,0.5,0.502,328600,0.502,0.004,0.01010101,-0.01,-0.001996008,-0.005952381,41127
07/08/2012,0.503,0.527,0.501,0.524,1579100,0.524,0.043824701,0.004,0.01010101,-0.01,-0.001996008,41128
08/08/2012,0.535,0.543,0.526,0.543,725800,0.543,0.036259542,0.043824701,0.004,0.01010101,-0.01,41129
09/08/2012,0.549,0.55,0.538,0.546,483100,0.546,0.005524862,0.036259542,0.043824701,0.004,0.01010101,41130
10/08/2012,0.544,0.544,0.531,0.543,259800,0.543,-0.005494505,0.005524862,0.036259542,0.043824701,0.004,41131
13/08/2012,0.55,0.55,0.501,0.54,800700,0.54,-0.005524862,-0.005494505,0.005524862,0.036259542,0.043824701,41134
14/08/2012,0.543,0.543,0.531,0.539,238400,0.539,-0.001851852,-0.005524862,-0.005494505,0.005524862,0.036259542,41135
15/08/2012,0.53,0.541,0.53,0.541,177600,0.541,0.003710575,-0.001851852,-0.005524862,-0.005494505,0.005524862,41136
16/08/2012,0.531,0.55,0.531,0.55,581500,0.55,0.01663586,0.003710575,-0.001851852,-0.005524862,-0.005494505,41137
17/08/2012,0.55,0.575,0.544,0.575,1457400,0.575,0.045454545,0.01663586,0.003710575,-0.001851852,-0.005524862,41138
20/08/2012,0.565,0.589,0.561,0.58,983100,0.58,0.008695652,0.045454545,0.01663586,0.003710575,-0.001851852,41141
21/08/2012,0.563,0.593,0.563,0.575,639800,0.575,-0.00862069,0.008695652,0.045454545,0.01663586,0.003710575,41142
22/08/2012,0.578,0.578,0.563,0.577,412600,0.577,0.003478261,-0.00862069,0.008695652,0.045454545,0.01663586,41143
23/08/2012,0.58,0.585,0.564,0.579,527800,0.579,0.003466205,0.003478261,-0.00862069,0.008695652,0.045454545,41144
24/08/2012,0.578,0.579,0.558,0.571,496900,0.571,-0.013816926,0.003466205,0.003478261,-0.00862069,0.008695652,41145
27/08/2012,0.578,0.583,0.57,0.578,422200,0.578,0.012259194,-0.013816926,0.003466205,0.003478261,-0.00862069,41148
28/08/2012,0.58,0.583,0.576,0.581,401800,0.581,0.005190311,0.012259194,-0.013816926,0.003466205,0.003478261,41149
29/08/2012,0.57,0.584,0.57,0.58,268500,0.58,-0.00172117,0.005190311,0.012259194,-0.013816926,0.003466205,41150
30/08/2012,0.58,0.58,0.573,0.58,167500,0.58,0,-0.00172117,0.005190311,0.012259194,-0.013816926,41151
31/08/2012,0.578,0.589,0.575,0.588,670000,0.588,0.013793103,0,-0.00172117,0.005190311,0.012259194,41152
03/09/2012,0.588,0.597,0.581,0.597,859600,0.597,0.015306122,0.013793103,0,-0.00172117,0.005190311,41155
04/09/2012,0.598,0.613,0.598,0.605,1267800,0.605,0.013400335,0.015306122,0.013793103,0,-0.00172117,41156
05/09/2012,0.607,0.608,0.599,0.602,1344700,0.602,-0.004958678,0.013400335,0.015306122,0.013793103,0,41157
06/09/2012,0.603,0.69,0.6,0.675,2962400,0.675,0.121262458,-0.004958678,0.013400335,0.015306122,0.013793103,41158
07/09/2012,0.69,0.797,0.69,0.754,6463800,0.754,0.117037037,0.121262458,-0.004958678,0.013400335,0.015306122,41159
10/09/2012,0.755,0.821,0.739,0.805,5601700,0.805,0.067639257,0.117037037,0.121262458,-0.004958678,0.013400335,41162
