"","X36963L","X99.972608055168","X99.972608055168","X100.027391944832"
"127",37139,98.6020155896798,100.754328957871,99.240661022009
"128",37140,98.6384134197894,100.791521290363,99.2040274430883
"129",37141,98.6680088165158,100.761279876741,99.2337925462285
"130",37144,98.7626285305457,100.857906976057,99.1386302622679
"131",37145,99.1295106287279,101.232572586726,98.7703513978564
"132",37146,98.4218473735974,100.509896045829,99.4754506961105
"133",37147,98.4306825612196,100.500873417082,99.4843804641869
"134",37148,98.5742146139287,100.354322602994,99.6294490237963
"135",37151,98.5473929063619,100.327016534115,99.6565578570467
"136",37152,98.359656089688,100.518143606633,99.4667080357476
"137",37153,98.3497185514493,100.528299222619,99.4566586490999
"138",37154,98.3688577400306,100.547862370383,99.4373040462238
"139",37155,98.2677507226536,100.444515694398,99.5395092507885
"140",37158,98.4548465765489,100.635755977143,99.3499920455748
"141",37159,98.3626665092763,100.72997795888,99.2569738827444
"142",37160,98.344648321938,100.748429793075,99.2387918751442
"143",37161,98.3739410852312,100.718421043678,99.2683509664573
"144",37162,98.4296505823824,100.661383859558,99.3245669709638
"145",37165,98.383523189292,100.708557116751,99.2780201904247
"146",37166,98.4948055467682,100.822469337931,99.1657260605316
"147",37167,98.4492228469372,100.869129264112,99.1198328634289
"148",37168,98.4685737103057,100.888955776522,99.1003501871072
"149",37169,98.5540952588926,100.801332086971,99.1864204437805
"150",37172,98.6670692152133,100.91688208272,99.0727216441377
"151",37173,98.4996603502059,100.74565594999,99.2408187814658
"152",37174,98.5369790076276,100.783825549842,99.2032193206638
"153",37175,98.6127327132574,100.861306596347,99.1269534197844
"154",37176,98.6513069605693,100.821852776563,99.165728814313
"155",37179,98.6596769295882,100.830406903317,99.1573151996992
"156",37180,98.6780944490306,100.849229648711,99.1388047825017
"157",37181,98.6684572186268,100.859078919389,99.1291225575967
"158",37182,98.7163947714639,100.810077064479,99.1772839222745
"159",37183,98.819821881992,100.704456361788,99.2811939154409
"160",37186,98.913532966223,100.799954649609,99.1870453109567
"161",37187,98.9420660675274,100.829031917717,99.1584333108889
